date,channel,users,sessions,pageviews,bounce_rate,avg_session_duration_sec,conversions
2024-03-23,Organic Search,58,68,155,0.48,120,2
2024-03-24,Organic Search,62,68,110,0.45,173,1
2024-03-25,Organic Search,70,75,118,0.58,241,1
2024-03-26,Organic Search,66,80,121,0.45,125,2
2024-03-27,Social,76,94,197,0.6,247,0
2024-03-28,Referral,52,60,130,0.56,241,1
2024-03-29,Email,66,71,101,0.36,197,2
2024-03-30,Direct,60,66,160,0.58,195,1
2024-03-31,Organic Search,77,81,118,0.33,247,5
2024-04-01,Social,53,65,129,0.55,175,1
2024-04-02,Social,53,56,122,0.41,224,1
2024-04-03,Direct,55,64,150,0.56,252,0
2024-04-04,Social,43,47,102,0.56,272,0
2024-04-05,Direct,56,65,148,0.54,103,0
2024-04-06,Direct,54,63,111,0.54,209,1
2024-04-07,Direct,62,75,172,0.39,227,0
2024-04-08,Organic Search,64,69,102,0.32,169,0
2024-04-09,Organic Search,76,79,188,0.42,233,1
2024-04-10,Organic Search,69,74,148,0.35,271,4
2024-04-11,Referral,57,70,160,0.51,195,1
2024-04-12,Organic Search,55,67,127,0.4,294,0
2024-04-13,Direct,66,77,162,0.59,159,3
2024-04-14,Email,52,60,118,0.49,133,2
2024-04-15,Organic Search,77,91,200,0.55,162,1
2024-04-16,Direct,72,78,116,0.34,134,1
2024-04-17,Social,59,72,105,0.56,273,2
2024-04-18,Organic Search,49,55,91,0.58,196,0
2024-04-19,Organic Search,74,83,130,0.45,173,1
2024-04-20,Organic Search,63,72,169,0.48,171,2
2024-04-21,Organic Search,74,78,128,0.53,196,0
2024-04-22,Email,51,55,136,0.35,274,2
2024-04-23,Social,59,70,123,0.45,110,0
2024-04-24,Referral,65,69,110,0.42,285,1
2024-04-25,Email,65,76,172,0.34,267,2
2024-04-26,Social,61,67,142,0.41,250,0
2024-04-27,Organic Search,70,78,151,0.32,96,3
2024-04-28,Email,57,63,126,0.31,159,1
2024-04-29,Direct,64,71,155,0.34,216,2
2024-04-30,Social,67,79,130,0.59,232,0
2024-05-01,Email,70,77,192,0.46,299,0
2024-05-02,Organic Search,72,83,205,0.59,249,1
2024-05-03,Organic Search,57,65,137,0.43,292,0
2024-05-04,Organic Search,54,63,102,0.39,237,2
2024-05-05,Direct,77,95,204,0.45,232,1
2024-05-06,Social,70,83,122,0.43,265,3
2024-05-07,Email,61,66,94,0.33,288,2
2024-05-08,Organic Search,80,84,141,0.49,238,2
2024-05-09,Direct,69,76,145,0.36,259,1
2024-05-10,Direct,77,90,211,0.49,243,0
2024-05-11,Organic Search,69,73,160,0.5,209,2
2024-05-12,Organic Search,85,97,215,0.35,217,2
2024-05-13,Organic Search,83,97,181,0.32,231,1
2024-05-14,Email,67,74,131,0.53,146,0
2024-05-15,Organic Search,77,92,166,0.44,254,1
2024-05-16,Direct,74,79,196,0.32,147,2
2024-05-17,Social,80,85,122,0.6,110,1
2024-05-18,Direct,62,74,174,0.32,171,1
2024-05-19,Paid Search,75,86,175,0.51,158,1
2024-05-20,Paid Search,79,93,175,0.6,220,4
2024-05-21,Organic Search,56,63,138,0.37,176,0
2024-05-22,Direct,61,67,129,0.34,254,1
2024-05-23,Organic Search,55,66,155,0.34,138,1
2024-05-24,Organic Search,69,83,198,0.39,236,0
2024-05-25,Organic Search,77,91,169,0.33,204,5
2024-05-26,Referral,84,92,156,0.51,178,1
2024-05-27,Direct,72,84,172,0.32,174,1
2024-05-28,Organic Search,85,95,228,0.45,217,2
2024-05-29,Organic Search,61,65,106,0.6,229,2
2024-05-30,Email,59,72,150,0.54,278,2
2024-05-31,Organic Search,72,77,161,0.48,258,1
2024-06-01,Organic Search,76,94,207,0.39,250,2
2024-06-02,Direct,73,83,128,0.49,267,4
2024-06-03,Paid Search,57,61,133,0.46,206,4
2024-06-04,Organic Search,73,84,201,0.43,285,0
2024-06-05,Referral,63,77,123,0.34,216,4
2024-06-06,Social,79,94,156,0.57,160,2
2024-06-07,Organic Search,77,93,229,0.43,175,2
2024-06-08,Social,67,79,126,0.36,122,2
2024-06-09,Direct,70,83,194,0.41,170,1
2024-06-10,Referral,66,80,155,0.42,241,1
2024-06-11,Referral,75,82,137,0.55,150,2
2024-06-12,Direct,83,95,223,0.52,150,1
2024-06-13,Organic Search,68,74,139,0.53,187,3
2024-06-14,Social,80,99,194,0.3,117,0
2024-06-15,Organic Search,72,89,159,0.42,275,3
2024-06-16,Organic Search,70,74,151,0.44,132,5
2024-06-17,Organic Search,75,89,140,0.31,258,0
2024-06-18,Direct,68,83,151,0.38,256,1
2024-06-19,Referral,72,78,192,0.53,175,1
2024-06-20,Organic Search,67,77,129,0.34,266,0
2024-06-21,Direct,93,114,241,0.46,106,1
2024-06-22,Organic Search,78,82,144,0.36,187,2
2024-06-23,Referral,72,85,191,0.3,287,2
2024-06-24,Organic Search,80,88,135,0.37,287,0
2024-06-25,Referral,77,95,234,0.59,187,3
2024-06-26,Direct,77,95,180,0.54,154,0
2024-06-27,Email,83,102,169,0.59,163,1
2024-06-28,Organic Search,85,97,143,0.45,174,1
2024-06-29,Organic Search,75,91,144,0.33,94,4
2024-06-30,Organic Search,75,91,179,0.46,91,1
2024-07-01,Email,77,85,150,0.44,111,3
2024-07-02,Email,61,74,171,0.55,201,1
2024-07-03,Organic Search,68,71,133,0.33,146,2
2024-07-04,Referral,91,106,177,0.45,155,2
2024-07-05,Social,93,101,209,0.35,163,2
2024-07-06,Direct,78,83,180,0.4,187,3
2024-07-07,Direct,85,90,142,0.52,233,0
2024-07-08,Organic Search,83,98,155,0.44,201,2
2024-07-09,Organic Search,106,118,169,0.41,268,1
2024-07-10,Email,90,107,236,0.42,214,1
2024-07-11,Email,81,86,183,0.44,256,2
2024-07-12,Referral,74,82,157,0.54,175,1
2024-07-13,Organic Search,69,79,183,0.57,165,1
2024-07-14,Organic Search,84,101,230,0.59,177,0
2024-07-15,Social,76,84,171,0.54,257,1
2024-07-16,Email,71,83,195,0.39,127,1
2024-07-17,Email,78,95,154,0.51,277,1
2024-07-18,Social,74,86,130,0.43,148,1
2024-07-19,Referral,97,106,179,0.38,227,4
2024-07-20,Organic Search,91,95,138,0.55,188,3
2024-07-21,Organic Search,84,102,202,0.31,281,2
2024-07-22,Email,96,101,245,0.57,152,2
2024-07-23,Referral,85,104,150,0.44,138,0
2024-07-24,Organic Search,78,90,138,0.49,281,6
2024-07-25,Organic Search,97,120,227,0.5,121,0
2024-07-26,Referral,89,107,259,0.57,224,2
2024-07-27,Organic Search,77,96,167,0.49,110,2
2024-07-28,Organic Search,84,94,184,0.48,109,2
2024-07-29,Direct,79,95,137,0.32,243,1
2024-07-30,Referral,75,84,131,0.46,216,0
2024-07-31,Referral,93,106,263,0.35,157,4
2024-08-01,Organic Search,101,118,290,0.52,199,3
2024-08-02,Social,75,91,127,0.45,205,2
2024-08-03,Organic Search,91,113,276,0.5,232,0
2024-08-04,Organic Search,82,98,206,0.31,209,2
2024-08-05,Social,83,94,221,0.33,168,2
2024-08-06,Referral,83,94,178,0.51,205,1
2024-08-07,Social,81,96,188,0.32,181,1
2024-08-08,Referral,88,96,186,0.32,103,0
2024-08-09,Direct,81,86,183,0.3,244,0
2024-08-10,Organic Search,90,100,155,0.59,214,1
2024-08-11,Direct,88,97,138,0.52,257,1
2024-08-12,Organic Search,87,96,166,0.41,147,1
2024-08-13,Organic Search,82,89,193,0.39,117,0
2024-08-14,Paid Search,84,88,142,0.4,115,0
2024-08-15,Direct,95,100,214,0.53,202,2
2024-08-16,Email,93,116,286,0.5,280,2
2024-08-17,Referral,82,93,139,0.36,155,3
2024-08-18,Social,91,102,218,0.35,242,3
2024-08-19,Direct,96,113,213,0.33,220,1
2024-08-20,Direct,77,84,197,0.5,289,0
2024-08-21,Direct,95,117,186,0.53,133,2
2024-08-22,Organic Search,85,102,220,0.38,186,1
2024-08-23,Social,96,102,236,0.31,131,2
2024-08-24,Organic Search,85,96,234,0.32,95,1
2024-08-25,Organic Search,77,94,202,0.59,256,0
2024-08-26,Referral,79,97,188,0.39,269,1
2024-08-27,Organic Search,92,105,218,0.53,112,2
2024-08-28,Email,94,110,259,0.49,178,4
2024-08-29,Paid Search,85,92,186,0.41,212,1
2024-08-30,Email,98,122,174,0.36,267,1
2024-08-31,Direct,79,86,208,0.34,260,2
2024-09-01,Organic Search,92,113,243,0.48,236,0
2024-09-02,Email,84,99,212,0.53,286,6
2024-09-03,Direct,88,103,168,0.49,140,1
2024-09-04,Paid Search,94,108,229,0.46,100,1
2024-09-05,Paid Search,87,95,174,0.31,101,3
2024-09-06,Email,91,98,207,0.59,163,3
2024-09-07,Organic Search,102,111,168,0.54,97,1
2024-09-08,Direct,90,97,205,0.39,241,2
2024-09-09,Email,101,121,302,0.59,130,2
2024-09-10,Organic Search,86,96,139,0.48,253,0
2024-09-11,Organic Search,99,105,259,0.47,174,0
2024-09-12,Direct,107,133,245,0.52,161,2
2024-09-13,Email,76,93,219,0.54,144,2
2024-09-14,Referral,89,109,246,0.5,226,2
2024-09-15,Direct,101,126,254,0.34,136,2
2024-09-16,Organic Search,95,103,227,0.4,232,2
2024-09-17,Referral,99,111,262,0.58,265,1
2024-09-18,Paid Search,92,110,202,0.37,193,1
2024-09-19,Organic Search,98,116,204,0.41,299,4
2024-09-20,Direct,96,103,219,0.43,131,4
2024-09-21,Email,107,129,295,0.43,149,3
2024-09-22,Social,100,109,243,0.48,287,1
2024-09-23,Referral,101,110,250,0.58,101,2
2024-09-24,Social,95,109,204,0.37,219,7
2024-09-25,Direct,94,109,250,0.34,96,2
2024-09-26,Organic Search,95,110,168,0.36,169,2
2024-09-27,Social,102,108,215,0.57,220,3
2024-09-28,Social,96,117,164,0.49,198,0
2024-09-29,Email,101,111,195,0.39,92,2
2024-09-30,Email,116,124,223,0.54,116,2
2024-10-01,Direct,107,131,240,0.56,203,2
2024-10-02,Direct,97,120,259,0.55,196,1
2024-10-03,Social,110,134,244,0.58,129,2
2024-10-04,Referral,97,117,221,0.38,250,1
2024-10-05,Social,84,99,164,0.53,218,2
2024-10-06,Social,93,107,193,0.44,97,2
2024-10-07,Email,86,91,150,0.55,190,4
2024-10-08,Organic Search,98,110,162,0.52,249,2
2024-10-09,Direct,101,113,233,0.53,213,2
2024-10-10,Organic Search,115,126,269,0.5,265,2
2024-10-11,Direct,104,124,258,0.35,196,1
2024-10-12,Organic Search,100,114,217,0.46,190,0
2024-10-13,Direct,109,116,210,0.6,93,0
2024-10-14,Direct,85,92,216,0.58,287,0
2024-10-15,Organic Search,105,124,244,0.31,199,4
2024-10-16,Direct,109,116,223,0.35,108,3
2024-10-17,Organic Search,91,111,158,0.34,121,4
2024-10-18,Organic Search,112,128,227,0.52,226,3
2024-10-19,Social,106,121,220,0.55,101,1
2024-10-20,Direct,100,116,213,0.36,228,2
2024-10-21,Organic Search,109,132,269,0.45,135,0
2024-10-22,Direct,122,136,270,0.55,208,0
2024-10-23,Social,106,125,258,0.52,105,5
2024-10-24,Organic Search,107,124,277,0.46,218,3
2024-10-25,Referral,101,111,254,0.48,152,3
2024-10-26,Organic Search,98,120,262,0.45,198,0
2024-10-27,Organic Search,112,135,330,0.39,208,1
2024-10-28,Direct,99,116,164,0.47,110,0
2024-10-29,Direct,106,129,208,0.51,247,2
2024-10-30,Referral,102,124,174,0.56,102,2
2024-10-31,Social,110,131,276,0.49,251,1
2024-11-01,Paid Search,109,132,315,0.53,93,0
2024-11-02,Direct,115,136,226,0.35,245,4
2024-11-03,Organic Search,103,122,295,0.44,191,2
2024-11-04,Social,105,123,180,0.3,148,3
2024-11-05,Organic Search,99,118,286,0.37,217,5
2024-11-06,Direct,104,112,200,0.52,116,2
2024-11-07,Organic Search,111,136,205,0.6,158,2
2024-11-08,Organic Search,114,139,268,0.33,114,3
2024-11-09,Paid Search,101,106,178,0.42,220,2
2024-11-10,Social,115,139,238,0.54,186,2
2024-11-11,Referral,119,128,222,0.36,285,3
2024-11-12,Direct,112,125,285,0.47,114,6
2024-11-13,Organic Search,124,148,294,0.52,237,3
2024-11-14,Organic Search,103,111,193,0.48,251,1
2024-11-15,Organic Search,99,120,248,0.36,243,6
2024-11-16,Direct,95,115,251,0.41,215,1
2024-11-17,Social,122,140,237,0.54,222,3
2024-11-18,Referral,115,120,222,0.47,278,1
2024-11-19,Organic Search,110,121,185,0.3,98,3
2024-11-20,Paid Search,113,132,211,0.53,205,4
2024-11-21,Social,102,127,272,0.31,267,3
2024-11-22,Direct,131,154,246,0.52,223,3
2024-11-23,Referral,112,123,243,0.36,149,2
2024-11-24,Direct,112,131,285,0.59,261,4
2024-11-25,Organic Search,117,135,204,0.41,210,4
2024-11-26,Direct,116,139,281,0.4,228,1
2024-11-27,Social,114,122,205,0.34,283,2
2024-11-28,Organic Search,106,127,312,0.39,264,2
2024-11-29,Organic Search,116,134,258,0.56,197,2
2024-11-30,Organic Search,128,159,363,0.6,197,3
2024-12-01,Organic Search,124,138,276,0.41,290,1
2024-12-02,Email,126,148,214,0.43,220,5
2024-12-03,Social,109,134,280,0.52,165,2
2024-12-04,Direct,106,113,276,0.57,119,1
2024-12-05,Organic Search,113,139,286,0.48,110,2
2024-12-06,Direct,114,135,310,0.42,245,1
2024-12-07,Direct,123,130,308,0.42,279,2
2024-12-08,Organic Search,101,112,184,0.51,250,3
2024-12-09,Direct,127,151,246,0.3,252,2
2024-12-10,Direct,114,121,250,0.49,269,2
2024-12-11,Referral,112,130,240,0.41,123,3
2024-12-12,Referral,107,119,276,0.54,130,0
2024-12-13,Organic Search,102,119,284,0.33,140,2
2024-12-14,Direct,122,129,230,0.48,264,3
2024-12-15,Referral,117,143,237,0.44,171,0
2024-12-16,Direct,106,131,295,0.49,147,3
2024-12-17,Email,106,131,222,0.32,164,2
2024-12-18,Referral,114,136,313,0.47,274,3
2024-12-19,Organic Search,130,139,259,0.47,112,4
2024-12-20,Organic Search,115,138,294,0.47,265,4
2024-12-21,Referral,105,110,165,0.48,217,2
2024-12-22,Organic Search,116,122,254,0.5,239,3
2024-12-23,Direct,116,129,244,0.54,106,2
2024-12-24,Email,96,110,224,0.38,158,0
2024-12-25,Direct,118,142,225,0.55,197,1
2024-12-26,Direct,117,138,305,0.45,228,3
2024-12-27,Referral,124,141,331,0.32,183,2
2024-12-28,Direct,134,148,242,0.32,104,3
2024-12-29,Direct,128,159,239,0.4,180,1
2024-12-30,Email,117,132,188,0.54,252,3
2024-12-31,Direct,111,126,265,0.51,122,1
